no,plant,deer,wildboar,rabbit,rat,fox,badger,deer_i,wildboar_i,rabbit_i,rat_i,fox_i,badger_i,antagonist,poor_mutual,mutualist,antagonist_i,poor_mutual_i,mutualist_i,Motifs,pop,x,y,del_area,nn,dens,normalised.degree,species.strength,species.specificity.index,effective.partners,node.index
49,ER028H,0.118,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.118,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194054.8538,4103053.822,110.724296,6.158845502,7,0.286,0.174,0.645,2.000,1.043
50,ER033H,0.229,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.229,0,0,Weak,Absent,Absent,weak_anta,Martinazo,193976.4357,4103066.046,3103.934244,17.67858938,2,0.286,0.190,0.751,1.753,1.043
51,ER036H,8.167,0.042,0,0,0,0.069,Strong,Weak,Absent,Absent,Absent,Weak,8.209,0,0.069,Strong,Absent,Weak,weak_mutual_strong_anta,Martinazo,194117.1799,4103055.547,1035.222731,24.49099033,1,0.429,0.265,0.778,1.873,1.000
52,ER037H,0,0.153,0,0,0,0,Absent,Strong,Absent,Absent,Absent,Absent,0.153,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194069.7517,4103086.384,1140.228311,14.690368,2,0.286,0.589,0.645,2.000,1.565
53,ER044H,0.083,0.173,0,0,0,0,Weak,Strong,Absent,Absent,Absent,Absent,0.256,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194071.6961,4103143.076,1177.873899,22.73794043,1,0.429,0.324,0.646,2.379,1.000
54,ER045H,0.694,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.694,0,0,Strong,Absent,Absent,strong_anta,Martinazo,194117.3597,4103157.114,2320.666868,47.77264979,1,0.286,0.122,0.899,1.355,1.000
55,ER047H,0.056,0.097,0,0,0,0,Weak,Weak,Absent,Absent,Absent,Absent,0.153,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194042.6843,4103175.108,320.430982,14.8900534,4,0.286,0.059,0.695,1.888,1.000
56,ER050H,0.028,0.055,0,0,0,0,Weak,Weak,Absent,Absent,Absent,Absent,0.083,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194009.7265,4103188.685,1545.429563,4.721361833,4,0.286,0.059,0.695,1.888,1.000
57,ER052X,0.188,0.73,0.07,0,0,0,Strong,Strong,Weak,Absent,Absent,Absent,0.918,0.07,0,Strong,Weak,Absent,weak_mutual_strong_anta,Martinazo,194024.8958,4103183.056,186.964433,11.87038507,6,0.571,0.491,0.458,3.457,1.000
58,ER053H,0.062,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.062,0,0,Weak,Absent,Absent,weak_anta,Martinazo,194033.6756,4103191.045,349.337478,0.01,4,0.143,0.008,1.000,1.000,1.043
59,ER061H,0,0,0,0,0,0.014,Absent,Absent,Absent,Absent,Absent,Weak,0,0,0.014,Absent,Absent,Weak,weak_mutual,Martinazo,194057.4104,4103315.202,703.494105,15.37408002,2,0.286,0.246,0.822,1.570,1.043
60,ER067H,1.542,0,0,0,0,0.354,Strong,Absent,Absent,Absent,Absent,Strong,1.542,0,0.354,Strong,Absent,Strong,strong_mutual_strong_anta,Martinazo,193621.7608,4103123.279,944.031778,48.40392186,1,0.571,0.706,0.422,3.675,1.043
61,ER070H,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Martinazo,193807.4582,4103306.386,7132.956988,45.26068993,1,0.429,0.590,0.597,2.529,1.043
62,ER071M-H,0.237,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.237,0,0,Weak,Absent,Absent,weak_anta,Martinazo,193691.8201,4103244.69,1683.439321,10.63476498,2,0.286,0.417,0.645,2.000,1.043
63,ER072H,0.777,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,0.777,0,0,Strong,Absent,Absent,strong_anta,Martinazo,193696.2319,4103254.367,92.48376,10.63476498,3,0.286,0.231,0.792,1.648,1.043
64,ER073H,7.358,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,7.358,0,0,Strong,Absent,Absent,strong_anta,Martinazo,193708.4856,4103253.082,175.398824,10.55982454,4,0.286,0.278,0.899,1.355,1.043
65,ER074M-H,4.518,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,4.518,0,0,Strong,Absent,Absent,strong_anta,Martinazo,193712.0186,4103266.04,102.209692,6.560412211,3,0.143,0.055,1.000,1.000,1.043
66,ER079H,0,0,0,0,0,0.181,Absent,Absent,Absent,Absent,Absent,Strong,0,0,0.181,Absent,Absent,Weak,weak_mutual,Martinazo,193739.5693,4103191.951,17.356475,1.41768778,3,0.571,0.591,0.510,3.103,1.000
67,ER080H,0.382,0.73,0.167,0.201,0,0,Strong,Strong,Strong,Strong,Absent,Absent,1.112,0.368,0,Strong,Strong,Absent,weak_mutual_strong_anta,Martinazo,193740.1962,4103195.654,1394.462026,3.755776764,3,0.714,1.103,0.419,3.876,1.000
68,ER085H,1.251,0,0,0,0,0,Strong,Absent,Absent,Absent,Absent,Absent,1.251,0,0,Strong,Absent,Absent,strong_anta,Martinazo,193904.6243,4103236.117,6055.65415,25.10206629,1,0.143,0.039,1.000,1.000,1.043
69,ER086H,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Martinazo,193918.8692,4103215.448,3171.468772,25.10206629,1,0.143,0.031,1.000,1.000,1.043
70,ER090H,0.063,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.063,0,0,Weak,Absent,Absent,weak_anta,Martinazo,193680.5123,4103140.535,5890.579029,34.04919626,1,0.286,0.096,0.889,1.383,1.043
