plant,deer,wildboar,rabbit,rat,fox,badger,motif,inf_s,size_s,sincr_s,fruits_s,fruit_set_s,del.area_s,nn_s,dens_s,pop
EM097H,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Absent,0.148380161,1.519630761,6.735532654,1.055635262,0.101219352,2.984101477,2.2392624,0.277948337,Matasgordas
EM117H,0.16667,0.00000,0.16667,0.00000,0.00000,0.00000,StrongW_Antagonism,0.572323477,0.403102055,5.063480055,4.066594929,1.503994692,1.562834555,2.2392624,0.277948337,Matasgordas
EM123H,0.08333,0.00000,0.08333,0.16667,0.00000,0.00000,Mutualism_Antagonism,0.169577327,0.993358635,6.735532654,2.19524151,0.240560279,2.902755919,3.037393254,0.277948337,Matasgordas
EM128,0.08333,0.00000,0.00000,0.25000,0.00000,0.08333,Mutualism_Antagonism,0.381548985,1.25249567,3.375653367,3.118922364,0.769004169,3.85751155,0.238359857,1.945638362,Matasgordas
EM133,0.25000,0.00000,0.00000,0.33333,0.00000,0.00000,Mutualism_Antagonism,2.501265566,1.175714326,3.375653367,2.950980391,4.769797654,0.152208712,0.15852001,3.33538005,Matasgordas
EM136,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,StrongW_Mutualism,0.445140482,1.081337258,6.735532654,2.207237365,0.634921391,0.029620476,0.924268892,0.555896675,Matasgordas
EM138,0.08333,0.00000,0.00000,0.08333,0.00000,0.00000,Absent,0.211971658,0.972563687,6.735532654,1.919336839,0.262907408,0.014300458,0.187155307,2.779483375,Matasgordas
EM142,0.00000,0.00000,0.00000,0.08333,0.00000,0.00000,Absent,0.275563156,0.425496613,6.735532654,0.815718157,0.145256343,0.308315802,0.25423862,3.057431712,Matasgordas
EM155,0.16667,0.00000,0.00000,0.00000,0.00000,0.00000,Absent,3.137180541,2.295442256,3.020736541,1.595448748,3.23441839,1.575940023,0.600003143,0.833845012,Matasgordas
EM160,0.16667,0.00000,0.16667,0.00000,0.00000,0.00000,Mutualism_Antagonism,0.996266793,0.993358635,6.735532654,1.307548222,0.841796658,5.360137827,0.559592584,0.555896675,Matasgordas
EM163,0.00000,0.00000,0.00000,0.08333,0.00000,0.00000,Absent,0.148380161,1.724381011,6.688210413,1.583452893,0.151829028,0.210084173,0.689834122,1.667690025,Matasgordas
EM171,0.08333,0.00000,0.08333,0.00000,0.00000,0.00000,Absent,0.423943316,0.4095005,3.020736541,2.303204207,0.63097778,0.095139438,0.802234355,1.945638362,Matasgordas
EM190,0.00000,0.08333,0.41667,0.25000,0.00000,0.00000,StrongW_Mutualism,0.826689467,1.151720156,6.735532654,1.739399011,0.929213371,0.06241593,0.802234355,2.2235867,Matasgordas
EM193,0.16667,0.00000,0.00000,0.00000,0.00000,0.00000,StrongW_Antagonism,1.102252622,1.727580234,6.735532654,3.166905785,2.255745563,0.560630676,2.028913395,0.277948337,Matasgordas
EM199,0.00000,0.00000,0.33333,0.41667,0.00000,0.16667,StrongW_Mutualism,0.084788663,1.468443199,9.117418914,2.42316276,0.132768241,1.610044299,1.694299688,0.277948337,Matasgordas
EM227,0.08333,0.00000,0.08333,0.00000,0.00000,0.00000,Mutualism_Antagonism,0.211971658,0.99975708,6.735532654,0.623784473,0.085444908,1.563189849,0.786087972,0.555896675,Matasgordas
EM234,0.00000,0.00000,0.08333,0.00000,0.00000,0.00000,StrongW_Mutualism,0.678309306,0.719825097,5.910022406,2.19524151,0.962241114,0.037513817,0.136485996,2.501535037,Matasgordas
EM236,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Absent,0.317957487,0.359912549,6.735532654,1.319544077,0.271123265,0.034066825,0.260839904,3.33538005,Matasgordas
EM240,0.41667,0.00000,0.00000,0.00000,0.00000,0.25000,Mutualism_Antagonism,1.82295626,1.945127375,6.735532654,3.598756574,4.239381958,0.002150489,0.172436229,2.2235867,Matasgordas
EM270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Absent,0.190774492,0.461887771,6.735532654,2.843017693,0.350488439,0.01986443,0.05584329,2.779483375,Matasgordas
EM291H,0.16667,0.08333,0.75000,0.16667,0.00000,0.00000,StrongW_Mutualism,0.826689467,0.604653082,6.735532654,0.851705723,0.454994133,0.013498706,0.704731614,2.2235867,Matasgordas
EM293,0.00000,0.00000,0.00000,0.08333,0.00000,0.00000,StrongW_Mutualism,0.127182995,0.291129262,6.735532654,0.563805197,0.046337431,0.044070739,0.495988325,1.11179335,Matasgordas
EM297H,0.08333,0.00000,0.16667,0.00000,0.00000,0.00000,StrongW_Mutualism,0.614717809,0.524672515,6.735532654,1.919336839,0.762431484,0.242728836,0.722126888,0.833845012,Matasgordas
EM298H,0.33333,0.00000,0.58333,0.41667,0.08333,0.00000,Mutualism_Antagonism,1.844153426,1.295685175,5.910022406,2.507133747,2.987778378,0.084555523,0.312044454,2.2235867,Matasgordas
EM300H,0.00000,0.00000,0.33333,0.50000,0.08333,0.00000,StrongW_Mutualism,0.381548985,1.190110828,6.735532654,1.175593814,0.289855418,0.12106949,0.803840072,0.833845012,Matasgordas
ER002H,0.16700,0.08300,0.08300,0.00000,0.00000,0.00000,StrongW_Antagonism,0.25436599,0.358312937,6.81560326,0.215925394,0.0354925,0.134408535,0.152543172,1.11179335,Martinazo
ER007H,0.33300,0.16700,0.16700,0.00000,0.00000,0.08300,StrongW_Antagonism,0.699506472,1.439739178,6.81560326,0.431850789,0.195208751,0.673128761,1.760044903,0.277948337,Martinazo
ER028H,0.08300,0.00000,0.00000,0.00000,0.08300,0.00000,StrongW_Antagonism,1.441407275,1.414056414,6.81560326,0.659772039,0.614546067,0.377927789,1.299025539,0.555896675,Martinazo
ER033H,0.25000,0.00000,0.00000,0.00000,0.08300,0.00000,StrongW_Antagonism,1.483801607,3.242027263,6.81560326,0.431850789,0.414079168,0.123070174,1.121504537,0.833845012,Martinazo
ER036H,1.00000,0.16700,0.00000,0.00000,0.00000,0.08300,Mutualism_Antagonism,0.233168824,3.016866964,6.81560326,1.223577235,0.18436382,0.226594254,0.699914461,0.555896675,Martinazo
ER037H,0.00000,0.16700,0.00000,0.16700,0.00000,0.00000,StrongW_Antagonism,6.274361081,5.059630646,6.40416265,0.455842499,1.84823908,0.513040506,1.265840708,0.555896675,Martinazo
ER044H,0.33300,0.08300,0.00000,0.08300,0.00000,0.00000,StrongW_Antagonism,1.399012944,2.52501649,6.81560326,0.491830065,0.444642154,0.070994234,0.143533312,1.11179335,Martinazo
ER045H,0.83300,0.08300,0.00000,0.00000,0.00000,0.00000,StrongW_Antagonism,0.932675296,2.235486839,6.81560326,1.031643551,0.621776021,0.083483235,0.719539898,2.2235867,Martinazo
ER047H,0.16700,0.08300,0.00000,0.00000,0.00000,0.00000,StrongW_Antagonism,1.462604441,2.525401388,6.40416265,0.323888092,0.306122813,0.007455259,0.105620536,4.4471734,Martinazo
ER050H,0.16700,0.08300,0.00000,0.00000,0.00000,0.00000,StrongW_Antagonism,1.059858291,2.049931925,6.81560326,0.527817631,0.361497686,0.059773154,0.000892065,4.169225062,Martinazo
ER052X,0.25000,0.41700,0.16700,0.00000,0.00000,0.00000,StrongW_Antagonism,1.441407275,3.602769625,6.81560326,0.179937829,0.167603473,0.07240309,0.000892065,2.779483375,Martinazo
ER053H,0.08300,0.00000,0.00000,0.00000,0.00000,0.00000,StrongW_Antagonism,1.144646954,2.621378067,6.40416265,0.647776183,0.479148752,0.054030796,0.505533425,1.11179335,Martinazo
ER061H,0.83300,0.00000,0.00000,0.00000,0.00000,0.16700,StrongW_Mutualism,0.296760321,1.382064187,6.40416265,0.155946118,0.029905718,0.615978178,0.871815451,0.555896675,Martinazo
ER067H,0.50000,0.00000,0.25000,0.00000,0.16700,0.25000,Mutualism_Antagonism,0.50873198,1.497236203,6.81560326,0.323888092,0.1064775,0.199027682,0.835419185,1.389741687,Martinazo
ER070H,0.33300,0.00000,0.75000,0.00000,0.16700,0.00000,Absent,0.635914974,0.895782344,6.40416265,0.371871513,0.152814931,0.244041601,0.910620293,0.555896675,Martinazo
ER071M-H,0.16700,0.00000,0.00000,0.00000,0.00000,0.00000,StrongW_Antagonism,0.25436599,1.305282843,6.81560326,0.50382592,0.082815834,0.078248439,0.415880859,1.389741687,Martinazo
ER072H,0.33300,0.00000,0.00000,0.00000,0.00000,0.00000,StrongW_Antagonism,2.819223053,1.913580063,6.81560326,0.851705723,1.55164666,0.012860064,0.268511665,1.389741687,Martinazo
ER073H,0.83300,0.00000,0.00000,0.00000,0.00000,0.00000,Mutualism_Antagonism,0.25436599,3.372425594,9.445245466,1.079626972,0.177462501,0.587280185,1.13970267,0.555896675,Martinazo
ER074M-H,0.58300,0.00000,0.00000,0.00000,0.00000,0.00000,Mutualism_Antagonism,2.925208883,2.182314766,6.81560326,0.539813486,1.020409378,0.083155044,0.935330502,1.945638362,Martinazo
ER079H,0.91700,0.16700,0.83300,0.00000,0.00000,0.16700,StrongW_Mutualism,0.466337648,1.055743476,6.81560326,0.239917105,0.072299537,0.282378851,1.303039833,1.945638362,Martinazo
ER080H,0.91700,0.41700,1.00000,0.08300,0.00000,0.25000,Mutualism_Antagonism,0.720703638,1.577216769,6.40416265,0.635780328,0.296099469,0.639421665,1.676904414,0.555896675,Martinazo
ER085H,0.41700,0.00000,0.00000,0.00000,0.00000,0.00000,StrongW_Antagonism,2.776828722,4.149066901,6.81560326,1.115614538,2.001875597,0.96605112,2.457729201,0.277948337,Martinazo
ER086H,0.33300,0.00000,0.00000,0.00000,0.00000,0.00000,Absent,2.713237224,3.626378896,6.40416265,1.247568946,2.187389637,0.874634137,0.611689199,0.555896675,Martinazo
ER090H,0.75000,0.00000,0.08300,0.00000,0.00000,0.00000,StrongW_Antagonism,1.081055457,0.759430482,6.40416265,0.203929539,0.142462952,1.494865494,3.644889747,0.277948337,Martinazo
